architecture,delta_regret_vs_A0,delta_ECE_vs_A0,delta_SHR_vs_A0,delta_OBR_vs_A0,delta_WMR_vs_A0,delta_EDI_vs_A0,delta_tokens_vs_A0,delta_latency_vs_A0,cohens_d_vs_A0,p_value_paired
A0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A1,-0.00037916115975605846,-0.0003641435606774879,-0.001800000000000003,-0.0005999999999999998,-0.004200000000000037,-0.001364696076805838,-79.40140000000065,-0.06134190082975044,-0.0031738246923676723,0.8394933253228477
A2,-0.004429853830772462,-0.0048221534485941575,-0.013200000000000003,-0.0015999999999999973,-0.02240000000000003,-0.008467203007817392,-156.25860000000011,-0.11638369246410152,-0.03746322754304081,0.018212944142615248
A3,-0.004707625649540553,-0.004923582614844435,-0.018200000000000008,0.0052,-0.026400000000000035,-0.009587120030439739,-248.7436000000007,-0.17815131114328375,-0.040113751422783325,0.012626125405377232
A4,-0.004905259973243925,-0.0072872876942525755,-0.020800000000000006,0.006400000000000003,-0.03520000000000004,-0.012279084133078766,-329.03740000000016,-0.24151673206130253,-0.04209008555207694,0.009744215248590572
A5,-0.008031606772831157,-0.008568372166327887,-0.030000000000000006,0.009400000000000002,-0.04440000000000002,-0.0157949724741904,-413.01720000000023,-0.29510928614753373,-0.06917778515693192,2.8531753247292944e-05
A6,-0.008482216032328516,-0.01080970851373736,-0.026600000000000006,0.013999999999999999,-0.053600000000000037,-0.017397245081190685,-493.03860000000077,-0.3613659170592074,-0.07392759357352574,1.0580251271956443e-05
A7,-0.007456924148964261,-0.011469557273917685,-0.03520000000000001,0.018800000000000004,-0.05860000000000001,-0.019610367524085057,-560.3332,-0.4155684416347136,-0.06519938693043538,0.0001046482059039277
A8,-0.009941626671487624,-0.015324369414605854,-0.041800000000000004,0.0218,-0.07180000000000003,-0.023561765777828425,-651.1524000000009,-0.478463901740519,-0.08745021865198506,3.218800520857124e-07
A9,-0.009049678483883883,-0.015138314873394842,-0.04300000000000001,0.0232,-0.07180000000000003,-0.023285587200158886,-725.0460000000003,-0.5416536107825942,-0.07955303363628521,3.9480390206751325e-06
A10,-0.006379634328228967,-0.01277340788696163,-0.04360000000000001,0.028000000000000004,-0.06440000000000001,-0.020493073553076974,-800.1230000000005,-0.6012485534454941,-0.05621913230805763,0.001219630815946008
A11,-0.00477606874984679,-0.012832533360653653,-0.04880000000000001,0.0354,-0.06220000000000003,-0.019535027454376436,-894.6842000000006,-0.6607630563827922,-0.04195938477933855,0.018960619301229262
