perturbation,architecture,rank,mean_regret,kendall_tau_vs_baseline
baseline,A8,1,0.18769026364023483,0.9999999999999999
baseline,A9,2,0.1885822118278386,0.9999999999999999
baseline,A6,3,0.18914967427939394,0.9999999999999999
baseline,A5,4,0.1896002835388913,0.9999999999999999
baseline,RAG-Monolithic,5,0.19010989983613444,0.9999999999999999
baseline,A7,6,0.1901749661627582,0.9999999999999999
baseline,Debate,7,0.1906567376458435,0.9999999999999999
baseline,Reflexion,8,0.1906687418235404,0.9999999999999999
baseline,A10,9,0.19125225598349346,0.9999999999999999
baseline,Sequential,10,0.1921337417893712,0.9999999999999999
baseline,A4,11,0.19272663033847853,0.9999999999999999
baseline,A11,12,0.19285582156187567,0.9999999999999999
baseline,A3,13,0.1929242646621819,0.9999999999999999
baseline,A2,14,0.19320203648095,0.9999999999999999
baseline,A1,15,0.19725272915196643,0.9999999999999999
baseline,Multi-Agent (A0 full),16,0.19763189031172246,0.9999999999999999
baseline,Monolithic,17,0.21095303259337925,0.9999999999999999
lambda_x_0.5,A8,1,0.09384513182011742,0.9999999999999999
lambda_x_0.5,A9,2,0.0942911059139193,0.9999999999999999
lambda_x_0.5,A6,3,0.09457483713969697,0.9999999999999999
lambda_x_0.5,A5,4,0.09480014176944565,0.9999999999999999
lambda_x_0.5,RAG-Monolithic,5,0.09505494991806722,0.9999999999999999
lambda_x_0.5,A7,6,0.0950874830813791,0.9999999999999999
lambda_x_0.5,Debate,7,0.09532836882292176,0.9999999999999999
lambda_x_0.5,Reflexion,8,0.0953343709117702,0.9999999999999999
lambda_x_0.5,A10,9,0.09562612799174673,0.9999999999999999
lambda_x_0.5,Sequential,10,0.0960668708946856,0.9999999999999999
lambda_x_0.5,A4,11,0.09636331516923927,0.9999999999999999
lambda_x_0.5,A11,12,0.09642791078093783,0.9999999999999999
lambda_x_0.5,A3,13,0.09646213233109095,0.9999999999999999
lambda_x_0.5,A2,14,0.096601018240475,0.9999999999999999
lambda_x_0.5,A1,15,0.09862636457598321,0.9999999999999999
lambda_x_0.5,Multi-Agent (A0 full),16,0.09881594515586123,0.9999999999999999
lambda_x_0.5,Monolithic,17,0.10547651629668962,0.9999999999999999
lambda_x_1.0,A8,1,0.18769026364023483,0.9999999999999999
lambda_x_1.0,A9,2,0.1885822118278386,0.9999999999999999
lambda_x_1.0,A6,3,0.18914967427939394,0.9999999999999999
lambda_x_1.0,A5,4,0.1896002835388913,0.9999999999999999
lambda_x_1.0,RAG-Monolithic,5,0.19010989983613444,0.9999999999999999
lambda_x_1.0,A7,6,0.1901749661627582,0.9999999999999999
lambda_x_1.0,Debate,7,0.1906567376458435,0.9999999999999999
lambda_x_1.0,Reflexion,8,0.1906687418235404,0.9999999999999999
lambda_x_1.0,A10,9,0.19125225598349346,0.9999999999999999
lambda_x_1.0,Sequential,10,0.1921337417893712,0.9999999999999999
lambda_x_1.0,A4,11,0.19272663033847853,0.9999999999999999
lambda_x_1.0,A11,12,0.19285582156187567,0.9999999999999999
lambda_x_1.0,A3,13,0.1929242646621819,0.9999999999999999
lambda_x_1.0,A2,14,0.19320203648095,0.9999999999999999
lambda_x_1.0,A1,15,0.19725272915196643,0.9999999999999999
lambda_x_1.0,Multi-Agent (A0 full),16,0.19763189031172246,0.9999999999999999
lambda_x_1.0,Monolithic,17,0.21095303259337925,0.9999999999999999
lambda_x_2.0,A8,1,0.37538052728046967,0.9999999999999999
lambda_x_2.0,A9,2,0.3771644236556772,0.9999999999999999
lambda_x_2.0,A6,3,0.3782993485587879,0.9999999999999999
lambda_x_2.0,A5,4,0.3792005670777826,0.9999999999999999
lambda_x_2.0,RAG-Monolithic,5,0.3802197996722689,0.9999999999999999
lambda_x_2.0,A7,6,0.3803499323255164,0.9999999999999999
lambda_x_2.0,Debate,7,0.381313475291687,0.9999999999999999
lambda_x_2.0,Reflexion,8,0.3813374836470808,0.9999999999999999
lambda_x_2.0,A10,9,0.3825045119669869,0.9999999999999999
lambda_x_2.0,Sequential,10,0.3842674835787424,0.9999999999999999
lambda_x_2.0,A4,11,0.38545326067695707,0.9999999999999999
lambda_x_2.0,A11,12,0.38571164312375134,0.9999999999999999
lambda_x_2.0,A3,13,0.3858485293243638,0.9999999999999999
lambda_x_2.0,A2,14,0.3864040729619,0.9999999999999999
lambda_x_2.0,A1,15,0.39450545830393285,0.9999999999999999
lambda_x_2.0,Multi-Agent (A0 full),16,0.3952637806234449,0.9999999999999999
lambda_x_2.0,Monolithic,17,0.4219060651867585,0.9999999999999999
temperature_scale_0.8,A8,1,0.5531464205440221,0.6617647058823529
temperature_scale_0.8,A9,2,0.5542997247441434,0.6617647058823529
temperature_scale_0.8,Sequential,3,0.559324590091103,0.6617647058823529
temperature_scale_0.8,Reflexion,4,0.5596259962171123,0.6617647058823529
temperature_scale_0.8,A10,5,0.5598792756476957,0.6617647058823529
temperature_scale_0.8,A6,6,0.5602028299451512,0.6617647058823529
temperature_scale_0.8,A7,7,0.5603499414610487,0.6617647058823529
