architecture,uncertainty_level,mean_regret,std_regret,ci95_regret_low,ci95_regret_high,mean_ECE,std_ECE,ci95_ECE_low,ci95_ECE_high,mean_SHR,mean_OBR,mean_WMR,mean_EDI,mean_tokens,mean_latency,cohens_d_regret_vs_monolithic,cohens_d_ECE_vs_monolithic,cohens_d_vs_monolithic
Monolithic,low,0.20177829792592228,0.10977416769233699,0.1969326745198655,0.20553281100632353,0.3839099705107645,0.136311322539051,0.37879969207409914,0.38779988080564626,0.005714285714285714,0.08244897959183674,0.2073469387755102,0.12097221217524713,2597.275918367347,1.2012671814735956,0.0,0.0,0.0
Monolithic,medium,0.21842857801171037,0.11384326558963527,0.21321616337118116,0.22276538839205565,0.4060826361400223,0.12881587894835117,0.3999392223224085,0.4116484486581528,0.0012875536480686696,0.12145922746781115,0.25622317596566524,0.1552533631047785,2601.2442060085837,1.1969395099864681,0.0,0.0,0.0
Monolithic,high,0.23395339218682515,0.12769820179314653,0.2180969202845391,0.24985796004287011,0.43745525344607356,0.12175048547103391,0.4225533135000757,0.45392260509023236,0.0,0.15454545454545454,0.33636363636363636,0.19188290411628448,2610.990909090909,1.1960085308255446,0.0,0.0,0.0
Sequential,low,0.1862702978360546,0.10476876956009933,0.18237836168128907,0.190461664943515,0.3781442622922393,0.1322498866934997,0.37330963904149195,0.3831595902145787,0.020816326530612245,0.03469387755102041,0.17959183673469387,0.10756857905530129,3398.6824489795918,1.696412727859504,-0.14452846974693404,-0.042932849680882124,-0.14452846974693404
Sequential,medium,0.1970662649455542,0.10893622681927241,0.19234722264688148,0.20178070509042262,0.39903597048952527,0.11912377578516764,0.3949736073123153,0.40482539986963245,0.0068669527896995704,0.07167381974248926,0.2094420600858369,0.13458557485575665,3403.784549356223,1.692539705349557,-0.19173338270570633,-0.05679840049051101,-0.19173338270570633
Sequential,high,0.20519128147900392,0.11166093558449688,0.1914856583372209,0.22016747244014162,0.4246327566745943,0.10604253901018851,0.4118953685020149,0.438495642880176,0.0,0.11818181818181818,0.2545454545454545,0.1602185563847641,3340.6,1.7038355748184688,-0.2397883729798124,-0.11231352746052764,-0.2397883729798124
RAG-Monolithic,low,0.1916521196897828,0.11152525164889619,0.1879966691999321,0.19559155581382942,0.3867091358358897,0.14600492002080998,0.38138778737183643,0.39172377355477656,0.05755102040816327,0.018775510204081632,0.2220408163265306,0.12202706303721907,3899.4461224489796,1.5471982507517255,-0.09151276830357978,0.019818319403333846,-0.09151276830357978
RAG-Monolithic,medium,0.18956622654201874,0.10740068366831368,0.18583343360408905,0.19374989356188627,0.39678992093189136,0.12130298838523539,0.39240540691900505,0.40117512836869484,0.019313304721030045,0.035622317596566526,0.20643776824034335,0.12972308426441923,3909.768669527897,1.5391847160020704,-0.26079919685883857,-0.07427289288762177,-0.26079919685883857
RAG-Monolithic,high,0.1786931731718214,0.10290654902270216,0.16692278589514578,0.1919640158794561,0.4098697871513069,0.10333234205459944,0.39580425688572407,0.4228620957100025,0.00909090909090909,0.031818181818181815,0.17727272727272728,0.12950997727914434,3908.981818181818,1.5793675923706667,-0.4765176592556678,-0.2442973857966789,-0.4765176592556678
Reflexion,low,0.19082173889869125,0.11127471748815428,0.18621373685970702,0.1945922702655428,0.38507399885078514,0.14048569686109755,0.3801604438278703,0.39114038304097815,0.03959183673469388,0.026938775510204082,0.21224489795918366,0.11621754232107517,4299.722040816327,2.095513371774871,-0.09913016825297237,0.00840974367364071,-0.09913016825297237
