architecture,delta_regret_vs_A0,delta_ECE_vs_A0,delta_SHR_vs_A0,delta_OBR_vs_A0,delta_WMR_vs_A0,delta_EDI_vs_A0,delta_tokens_vs_A0,delta_latency_vs_A0,cohens_d_vs_A0,p_value_paired
A0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A1,-0.005045693698768922,-0.00541440995330339,-0.0116,0.0014000000000000002,-0.025000000000000022,-0.008643814858043053,-70.87880000000041,-0.05634876934395994,-0.03987378662621601,0.006383168455157045
A2,-0.00667843260072945,-0.007337421040593317,-0.0204,0.0017999999999999995,-0.0338,-0.012610308975819828,-152.03980000000047,-0.1218212250622992,-0.0531353227807549,0.00025868007086160555
A3,-0.008270226723143731,-0.007861607200376153,-0.0186,0.0037999999999999996,-0.0408,-0.013998509674827075,-239.07200000000012,-0.1721316983138239,-0.06641196548355038,7.1192369105293e-06
A4,-0.011501559310806486,-0.011072371781028878,-0.025,0.004999999999999999,-0.06159999999999999,-0.02078665291075213,-312.9916000000003,-0.24288021745113442,-0.09302446186789419,7.625037420757446e-10
A5,-0.014108433782439395,-0.013146271355734762,-0.0316,0.0112,-0.07620000000000002,-0.0252686809100878,-397.3040000000001,-0.29915183710214466,-0.11542045976157668,7.555868269871005e-14
A6,-0.018689290770852518,-0.015327663155090376,-0.0366,0.0066,-0.09380000000000002,-0.03171457124427603,-484.58220000000074,-0.35370510807621125,-0.15546205500600302,2.896385729893885e-23
A7,-0.01941875931548373,-0.01671383586051234,-0.0414,0.0118,-0.10040000000000002,-0.03372882866444128,-557.9554000000007,-0.4187240742292597,-0.16151182023685698,4.5102586524623284e-24
A8,-0.015810264987291156,-0.01616732140422411,-0.04,0.018799999999999997,-0.0952,-0.03115541375749105,-624.8400000000001,-0.47696033264063264,-0.13144660117672005,5.759500952789102e-16
A9,-0.02001458852209989,-0.018659115669947157,-0.048799999999999996,0.0152,-0.1124,-0.03781577497325181,-716.6606000000002,-0.534266137970818,-0.16856285870508841,1.2369970120048305e-25
A10,-0.019067823051646227,-0.018683326322730343,-0.0512,0.0208,-0.11280000000000001,-0.03739318503721957,-801.0340000000006,-0.593985247513817,-0.16086757323445883,8.284420281995026e-23
A11,-0.020807524976939246,-0.01940998299846619,-0.0524,0.0264,-0.1252,-0.040382860680182195,-885.6230000000005,-0.6516667182424907,-0.17684598242141403,1.0634946708829665e-25
