architecture,delta_regret_vs_A0,delta_ECE_vs_A0,delta_SHR_vs_A0,delta_OBR_vs_A0,delta_WMR_vs_A0,delta_EDI_vs_A0,delta_tokens_vs_A0,delta_latency_vs_A0,p_regret,p_ECE,p_regret_holm,p_ECE_holm
A0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
A1,-0.005045693698768949,-0.005414409953303445,-0.0116,0.0013999999999999993,-0.025000000000000022,-0.00864381485804308,-70.87880000000132,-0.05634876934395905,0.007670965842811594,0.0006243899347333431,0.015341931685623188,0.0012487798694666861
A2,-0.006678432600729478,-0.007337421040593262,-0.020399999999999995,0.0017999999999999978,-0.03379999999999994,-0.0126103089758198,-152.03980000000047,-0.1218212250622992,0.00019224433311760563,1.8228077658971115e-06,0.0005767329993528169,5.468423297691335e-06
A3,-0.008270226723143731,-0.007861607200376042,-0.0186,0.0038000000000000004,-0.0408,-0.013998509674827075,-239.07200000000012,-0.17213169831382347,1.2099300325106662e-05,1.322004201482072e-06,4.839720130042665e-05,5.288016805928288e-06
A4,-0.011501559310806514,-0.011072371781028878,-0.025,0.004999999999999998,-0.061600000000000044,-0.0207866529107521,-312.9916000000012,-0.24288021745113397,1.6097701098389882e-09,1.100318140085734e-11,8.04885054919494e-09,5.5015907004286705e-11
A5,-0.014108433782439367,-0.013146271355734762,-0.031599999999999996,0.011200000000000002,-0.07619999999999999,-0.0252686809100878,-397.304000000001,-0.2991518371021442,2.198014246016929e-11,2.2019235368868665e-13,1.3188085476101573e-10,1.3211541221321198e-12
A6,-0.01868929077085249,-0.01532766315509032,-0.0366,0.006600000000000001,-0.0938,-0.03171457124427601,-484.58220000000074,-0.3537051080762108,3.319459336604319e-19,3.3835213836273715e-17,3.983351203925182e-18,3.0451692452646344e-16
A7,-0.01941875931548373,-0.01671383586051234,-0.0414,0.011800000000000001,-0.10040000000000002,-0.03372882866444127,-557.9554000000007,-0.4187240742292593,9.712973663327988e-19,2.069649063906479e-17,9.712973663327989e-18,2.069649063906479e-16
A8,-0.01581026498729113,-0.016167321404224055,-0.04,0.0188,-0.0952,-0.031155413757491063,-624.840000000001,-0.476960332640632,8.015792278464431e-12,1.7690479836351338e-15,5.611054594925102e-11,1.2383335885445936e-14
A9,-0.02001458852209989,-0.0186591156699471,-0.048799999999999996,0.015200000000000002,-0.11239999999999997,-0.03781577497325181,-716.6606000000011,-0.5342661379708176,7.286687565859082e-19,6.605285708188698e-19,8.01535632244499e-18,7.926342849826438e-18
A10,-0.019067823051646227,-0.018683326322730287,-0.051199999999999996,0.0208,-0.11280000000000001,-0.03739318503721954,-801.0340000000006,-0.5939852475138163,1.2722226436348954e-16,1.7951993697136436e-17,1.1450003792714059e-15,1.974719306685008e-16
A11,-0.020807524976939246,-0.01940998299846619,-0.0524,0.026400000000000003,-0.1252,-0.040382860680182195,-885.6230000000014,-0.6516667182424905,2.310750191185823e-16,2.7849254861572705e-16,1.8486001529486584e-15,2.2279403889258164e-15
