architecture,uncertainty_level,n,shr_count,obr_count,wmr_count,shr_rate,obr_rate,wmr_rate
A1,all,5000,291.0,37.0,1485.0,0.0582,0.0074,0.297
A1,high,220,15.0,3.0,64.0,0.06818181818181818,0.013636363636363636,0.2909090909090909
A1,low,2450,155.0,13.0,722.0,0.06326530612244897,0.005306122448979592,0.2946938775510204
A1,medium,2330,121.0,21.0,699.0,0.05193133047210301,0.009012875536480686,0.3
A10,all,5000,93.0,134.0,1046.0,0.0186,0.0268,0.2092
A10,high,220,4.0,9.0,43.0,0.01818181818181818,0.04090909090909091,0.19545454545454546
A10,low,2450,61.0,54.0,527.0,0.02489795918367347,0.022040816326530613,0.21510204081632653
A10,medium,2330,28.0,71.0,476.0,0.01201716738197425,0.030472103004291845,0.20429184549356222
A11,all,5000,87.0,162.0,984.0,0.0174,0.0324,0.1968
A11,high,220,6.0,12.0,39.0,0.02727272727272727,0.05454545454545454,0.17727272727272728
A11,low,2450,45.0,64.0,484.0,0.018367346938775512,0.026122448979591838,0.19755102040816327
A11,medium,2330,36.0,86.0,461.0,0.015450643776824034,0.03690987124463519,0.19785407725321888
A2,all,5000,247.0,39.0,1441.0,0.0494,0.0078,0.2882
A2,high,220,10.0,1.0,58.0,0.045454545454545456,0.004545454545454545,0.2636363636363636
A2,low,2450,131.0,15.0,729.0,0.053469387755102044,0.006122448979591836,0.2975510204081633
A2,medium,2330,106.0,23.0,654.0,0.045493562231759654,0.009871244635193134,0.28068669527896994
A3,all,5000,256.0,49.0,1406.0,0.0512,0.0098,0.2812
A3,high,220,11.0,7.0,57.0,0.05,0.031818181818181815,0.2590909090909091
A3,low,2450,117.0,20.0,671.0,0.04775510204081632,0.00816326530612245,0.27387755102040817
A3,medium,2330,128.0,22.0,678.0,0.054935622317596564,0.00944206008583691,0.2909871244635193
A4,all,5000,224.0,55.0,1302.0,0.0448,0.011,0.2604
A4,high,220,8.0,5.0,59.0,0.03636363636363636,0.022727272727272728,0.2681818181818182
