architecture,mean_regret,ci95_regret_low,ci95_regret_high,mean_ECE,ci95_ECE_low,ci95_ECE_high,mean_SHR,ci95_SHR_low,ci95_SHR_high,mean_OBR,ci95_OBR_low,ci95_OBR_high,mean_WMR,ci95_WMR_low,ci95_WMR_high,mean_EDI,ci95_EDI_low,ci95_EDI_high,mean_tokens,ci95_tokens_low,ci95_tokens_high,mean_latency,ci95_latency_low,ci95_latency_high
A1,0.20767720456107777,0.2019250031060576,0.21351428709083453,0.4091327483225942,0.4009666833435588,0.4167943392581967,0.0582,0.0492,0.067005,0.0074,0.005,0.01,0.297,0.2777899999999999,0.3168,0.14694975179981554,0.14056546797299865,0.15307575047753239,5521.014399999999,5504.84112,5536.27185,2.389912573250466,2.382867115133312,2.396924832433779
A10,0.1936550752082005,0.18927101661136508,0.1976696884694523,0.3958638319531674,0.3890864518326089,0.40221463050259587,0.018600000000000002,0.014400000000000001,0.0232,0.0268,0.0216,0.033,0.2092,0.195395,0.224,0.11820038162063908,0.11397395336756895,0.1224153776503316,4790.8592,4777.505985000001,4804.4963800000005,1.8522760950806088,1.847838493187592,1.8570629182965628
A11,0.19191537328290748,0.18793046457063428,0.1957567041784253,0.3951371752774315,0.38895869337451805,0.40152354121010286,0.0174,0.013600000000000001,0.021404999999999997,0.032400000000000005,0.026,0.0396,0.1968,0.18319500000000002,0.21220500000000003,0.11521070597767642,0.11127167351808254,0.11933388950346299,4706.270199999999,4693.59612,4718.696495,1.7945946243519346,1.790072532596495,1.799577594909186
A2,0.20604446565911724,0.20028443793930575,0.21151527699356593,0.4072097372353044,0.3995190897659824,0.41485665660375654,0.049400000000000006,0.041795,0.058,0.007799999999999999,0.005000000000000001,0.0108,0.28820000000000007,0.26899500000000004,0.307605,0.14298325768203882,0.13757034652011552,0.14863894773254072,5439.8534,5423.796550000001,5456.467874999999,2.324440117532126,2.3167879054462235,2.331217656491582
A3,0.204452671536703,0.1987739373490608,0.21005200060276993,0.4066855510755216,0.3992678759779422,0.4137961701911939,0.0512,0.0434,0.059605000000000005,0.009800000000000001,0.0068000000000000005,0.0128,0.2812,0.26279500000000006,0.30160000000000003,0.14159505698303154,0.1361600092647045,0.14751724326891932,5352.8212,5338.5673400000005,5367.259155,2.2741296442806016,2.2668897578613536,2.2808568707017134
A4,0.2012213389490402,0.19621139021166875,0.2061665043308473,0.4034747864948688,0.3956497776028003,0.4104671053502593,0.0448,0.037,0.0522,0.011,0.008195,0.0142,0.26039999999999996,0.24278500000000003,0.27840499999999996,0.13480691374710652,0.12950850270889291,0.14029404489007605,5278.901599999999,5264.17206,5293.26857,2.203381125143291,2.1964729269684677,2.209775363777821
A5,0.19861446447740735,0.1939308314975964,0.2033521352418711,0.4014008869201629,0.3943043030403505,0.40839941052649537,0.038200000000000005,0.0316,0.045200000000000004,0.017200000000000003,0.012600000000000002,0.022004999999999993,0.24580000000000002,0.229395,0.2644,0.13032488574777082,0.12540493462627555,0.1357586716289828,5194.589199999999,5180.653585,5208.9928199999995,2.147109505492281,2.140329705072148,2.1529835896472163
A6,0.19403360748899423,0.18926847809539435,0.19842887079441415,0.39921949512080734,0.39228853039130496,0.40590605925714823,0.0332,0.026600000000000002,0.039805,0.012600000000000002,0.0096,0.016,0.22820000000000001,0.21240000000000003,0.24340500000000004,0.1238789954135826,0.11922533448326714,0.12859655882617543,5107.311,5092.168624999999,5121.86515,2.0925562345182143,2.0860562343006817,2.098689468341396
A7,0.193304138944363,0.1886042933932469,0.1979251508823644,0.3978333224153853,0.3910741161906353,0.40459042172054416,0.0284,0.022800000000000004,0.034804999999999996,0.017800000000000003,0.013200000000000002,0.022805,0.2216,0.20459500000000003,0.23840500000000003,0.12186473799341735,0.11714158094574878,0.1268710888896147,5033.9378,5020.85836,5047.436115,2.027537268365166,2.021403931487403,2.033570888208531
A8,0.1969126332725556,0.19222368565401501,0.20157711596433006,0.3983798368716736,0.3913161500333125,0.4048843610758847,0.0298,0.023795000000000004,0.0362,0.024800000000000003,0.0192,0.0304,0.2268,0.21059,0.24360500000000002,0.12443815290036755,0.11980282410757313,0.12969828766950733,4967.053199999999,4951.90035,4981.783935,1.969301009953793,1.9639934025221983,1.9750540776218457
A9,0.19270830973774683,0.18869581931815016,0.1971053394578432,0.39588804260595056,0.3892679451234095,0.4023485119107621,0.021,0.016195,0.026,0.021200000000000004,0.016195000000000005,0.0268,0.20960000000000004,0.195395,0.22519999999999998,0.11777779168460681,0.11345099082977654,0.12255791177221201,4875.232599999999,4862.38343,4888.162880000001,1.9119952046236075,1.906846380096444,1.9173755959275811
Debate,0.20008323336324924,0.19501273293676338,0.2052438949158086,0.4023367754787566,0.3951568694323385,0.4094973584076631,0.0348,0.0288,0.041,0.0124,0.009,0.016,0.2576,0.24020000000000002,0.275605,0.13166618039871544,0.1268516860774281,0.13720311235039923,5206.9897999999985,5193.0113550000015,5221.20806,2.652494686761258,2.6437590680182983,2.6613599983560863
Monolithic,0.204123195409843,0.19991446301453095,0.20794456447506926,0.3944701136228887,0.38785348708910145,0.40088453537792396,0.0036,0.002,0.0054,0.068,0.0562,0.07859999999999999,0.2106,0.196195,0.22619999999999998,0.12545090197635136,0.1207956505880387,0.13017765120622574,2604.6098,2596.2175549999997,2614.374895,1.2017717795507261,1.1971946328568983,1.2065356625714043
Multi-Agent (A0 full),0.21272289825984672,0.20649022337758688,0.21853871974969455,0.41454715827589766,0.4060924448948906,0.42235586979421524,0.0698,0.0604,0.08000499999999999,0.006000000000000001,0.004,0.008400000000000001,0.322,0.301,0.342005,0.15559356665785862,0.14951800483768085,0.16196996342706604,5591.8932,5577.11122,5607.714925,2.446261342594425,2.4387950915781995,2.453967599326225
RAG-Monolithic,0.19812038233540044,0.1930011809719512,0.20291480188864727,0.3997454813910918,0.3925170339612701,0.40641031688143936,0.039799999999999995,0.033194999999999995,0.047205000000000004,0.0164,0.012795,0.0208,0.2444,0.227,0.26241,0.13120208524388477,0.12629471575762255,0.13670911473784708,3889.8504000000003,3878.89392,3900.930225,1.5512102573189537,1.5460479065553305,1.5559998350730502
Reflexion,0.19560630828721326,0.19084144222384627,0.20005675338445206,0.3977187814887294,0.39071310907441986,0.40425540706315705,0.022400000000000003,0.017400000000000002,0.027800000000000002,0.0162,0.012,0.020805,0.2268,0.20940000000000003,0.2436,0.12191109069591195,0.1171378275277983,0.12677703301272691,4295.786800000001,4284.818514999999,4307.42462,2.099842507696182,2.09261127345956,2.106615787043736
Sequential,0.19411158683884366,0.18993068453757675,0.1980324872759743,0.394959703557055,0.3884298630102703,0.40134568971265305,0.0172,0.013600000000000001,0.0216,0.0334,0.026995,0.03980499999999999,0.20240000000000002,0.1874,0.218005,0.1191580546258126,0.11488681200931723,0.12379609583237737,3392.1011999999996,3382.29905,3402.29581,1.70385730843204,1.6979981232244061,1.708970184277843
