architecture,tokens,regret,latency,ECE,pareto_tokens_regret,pareto_latency_ece
A1,5521.0144,0.20767720456107777,2.389912573250466,0.4091327483225942,False,False
A10,4790.8592,0.1936550752082005,1.8522760950806088,0.3958638319531674,False,False
A11,4706.2702,0.19191537328290748,1.7945946243519346,0.3951371752774315,True,False
A2,5439.8534,0.20604446565911724,2.324440117532126,0.4072097372353044,False,False
A3,5352.8212,0.204452671536703,2.2741296442806016,0.4066855510755216,False,False
A4,5278.901599999999,0.2012213389490402,2.203381125143291,0.4034747864948688,False,False
A5,5194.5892,0.19861446447740733,2.1471095054922813,0.4014008869201629,False,False
A6,5107.311,0.1940336074889942,2.0925562345182143,0.39921949512080734,False,False
A7,5033.9378,0.193304138944363,2.027537268365166,0.3978333224153853,False,False
A8,4967.0532,0.19691263327255557,1.969301009953793,0.3983798368716736,False,False
A9,4875.232599999999,0.19270830973774683,1.9119952046236075,0.39588804260595056,False,False
Debate,5206.989799999999,0.20008323336324924,2.652494686761258,0.4023367754787566,False,False
Monolithic,2604.6097999999997,0.204123195409843,1.2017717795507261,0.3944701136228887,True,True
Multi-Agent (A0 full),5591.8932,0.21272289825984672,2.446261342594425,0.41454715827589766,False,False
RAG-Monolithic,3889.8504,0.19812038233540044,1.5512102573189537,0.3997454813910918,False,False
Reflexion,4295.7868,0.19560630828721323,2.099842507696182,0.3977187814887294,False,False
Sequential,3392.1012,0.19411158683884366,1.70385730843204,0.39495970355705495,True,False
