architecture,uncertainty_level,selection_rule,threshold,coverage,risk_regret,conditional_ece
A1,all,non_abort_only,0.0,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.0,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.049999999999999996,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.09999999999999999,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.15,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.19999999999999998,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.24999999999999997,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.3,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.35,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.39999999999999997,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.44999999999999996,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.49999999999999994,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.5499999999999999,0.744,0.1869706464468092,0.3768695258872092
A1,all,confidence_and_non_abort,0.6,0.641,0.17314674623190007,0.35829947634074244
A1,all,confidence_and_non_abort,0.6499999999999999,0.439,0.14103611001215274,0.30300672998498834
A1,all,confidence_and_non_abort,0.7,0.262,0.11627135468180308,0.2524485767753434
A1,all,confidence_and_non_abort,0.7499999999999999,0.122,0.09484688143247091,0.21598318074625672
A1,all,confidence_and_non_abort,0.7999999999999999,0.03,0.06700743243095557,0.18509686720019664
A1,all,confidence_and_non_abort,0.85,0.0,,
A1,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A1,all,confidence_and_non_abort,0.95,0.0,,
A10,all,non_abort_only,0.0,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.0,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.049999999999999996,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.09999999999999999,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.15,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.19999999999999998,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.24999999999999997,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.3,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.35,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.39999999999999997,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.44999999999999996,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.49999999999999994,0.738,0.18220634660080112,0.35993904017076644
A10,all,confidence_and_non_abort,0.5499999999999999,0.731,0.18129538661147634,0.35847850648656937
A10,all,confidence_and_non_abort,0.6,0.604,0.1650543671820288,0.3313475165730212
A10,all,confidence_and_non_abort,0.6499999999999999,0.404,0.14706269085998164,0.2879183265519219
A10,all,confidence_and_non_abort,0.7,0.23,0.1459804717776624,0.254468141911251
A10,all,confidence_and_non_abort,0.7499999999999999,0.097,0.14894250807434448,0.22274469723864812
A10,all,confidence_and_non_abort,0.7999999999999999,0.018,0.11710767674663027,0.19055674970993677
A10,all,confidence_and_non_abort,0.85,0.0,,
A10,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A10,all,confidence_and_non_abort,0.95,0.0,,
A11,all,non_abort_only,0.0,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.0,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.049999999999999996,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.09999999999999999,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.15,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.19999999999999998,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.24999999999999997,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.3,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.35,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.39999999999999997,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.44999999999999996,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.49999999999999994,0.73,0.18139455358983794,0.35645216693521664
A11,all,confidence_and_non_abort,0.5499999999999999,0.724,0.180461756094124,0.35521887438328065
A11,all,confidence_and_non_abort,0.6,0.597,0.16443992716277975,0.3273920137527625
A11,all,confidence_and_non_abort,0.6499999999999999,0.403,0.15076153353656704,0.28880244887645856
