perturbation,architecture,rank,mean_score,kendall_tau_vs_baseline,lambda,clipping_bound,p_hat_temperature
baseline,A11,1,0.587052548560339,0.8970588235294118,1.0,1.0,1.0
baseline,A9,2,0.5885963523436973,0.8970588235294118,1.0,1.0,1.0
baseline,Sequential,3,0.5890712903958987,0.8970588235294118,1.0,1.0,1.0
baseline,A10,4,0.5895189071613679,0.8970588235294118,1.0,1.0,1.0
baseline,A7,5,0.5911374613597483,0.8970588235294118,1.0,1.0,1.0
baseline,A6,6,0.5932531026098016,0.8970588235294118,1.0,1.0,1.0
baseline,Reflexion,7,0.5933250897759427,0.8970588235294118,1.0,1.0,1.0
baseline,A8,8,0.5952924701442291,0.8970588235294118,1.0,1.0,1.0
baseline,RAG-Monolithic,9,0.5978658637264923,0.8970588235294118,1.0,1.0,1.0
baseline,Monolithic,10,0.5985933090327317,0.8970588235294118,1.0,1.0,1.0
baseline,A5,11,0.6000153513975702,0.8970588235294118,1.0,1.0,1.0
baseline,Debate,12,0.6024200088420059,0.8970588235294118,1.0,1.0,1.0
baseline,A4,13,0.604696125443909,0.8970588235294118,1.0,1.0,1.0
baseline,A3,14,0.6111382226122246,0.8970588235294118,1.0,1.0,1.0
baseline,A2,15,0.6132542028944217,0.8970588235294118,1.0,1.0,1.0
baseline,A1,16,0.616809952883672,0.8970588235294118,1.0,1.0,1.0
baseline,Multi-Agent (A0 full),17,0.6272700565357444,0.8970588235294118,1.0,1.0,1.0
lambda_0.5_clip_0.8_temp_0.8,A11,1,0.3789734594045947,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A9,2,0.380262879683116,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,Sequential,3,0.3810869822514468,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A10,4,0.3811401708001421,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A7,5,0.38207876715385153,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A6,6,0.38363189442980566,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,Reflexion,7,0.3843253231425459,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A8,8,0.3860205192724291,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,RAG-Monolithic,9,0.38813501679599816,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A5,10,0.3895835401130674,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,Monolithic,11,0.3910041018584736,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,Debate,12,0.3916772248673572,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A4,13,0.3935217940928645,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A3,14,0.39873929894934806,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A2,15,0.4006994834912544,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,A1,16,0.4035410368143883,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_0.8,Multi-Agent (A0 full),17,0.41191236483844784,0.9117647058823529,0.5,0.8,0.8
lambda_0.5_clip_0.8_temp_1.0,A11,1,0.38948396092162324,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A9,2,0.39065233104072206,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A10,3,0.3915869911847842,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,Sequential,4,0.39159143861737117,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A7,5,0.3922208001520556,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A6,6,0.39364335504939785,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,Reflexion,7,0.39446569903157797,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A8,8,0.39610255170839237,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,RAG-Monolithic,9,0.39799312303094636,0.9411764705882352,0.5,0.8,1.0
