system_id,uncertainty_level,budget_tokens,mean_regret,mean_delta_regret_vs_monolithic,ci95_delta_regret_low,ci95_delta_regret_high
A5-no-critique,high,2500,0.38137443014155725,0.02315498812475601,0.02168763920577342,0.024685976806780512
A5-no-critique,low,2500,0.19977760109389636,0.029274007170247782,0.025310836991719647,0.03441133865034736
A5-no-critique,medium,2500,0.35283806961643643,0.0338546714853124,0.03125352466922398,0.03677576604475958
A6-critique-nonbinding,high,2500,0.3947753704384832,0.03655592842168187,0.03445602714376461,0.03942647726599196
A6-critique-nonbinding,low,2500,0.2126889287649198,0.04218533484127121,0.031895468717749204,0.05247520096479322
A6-critique-nonbinding,medium,2500,0.38895066625469543,0.06996726812357137,0.06433962759518363,0.07528848634228423
C1-binding-critique,high,2500,0.28085687686748684,-0.07736256514931442,-0.09335196757934033,-0.06229534192790125
C1-binding-critique,low,2500,0.1680255669496459,-0.0024780269740027026,-0.009916429024243209,0.00824863599110846
C1-binding-critique,medium,2500,0.2317295675356729,-0.08725383059545119,-0.09547043254985059,-0.07929362743096124
Debate-2Agent,high,2500,0.43165410865171894,0.07343466663491767,0.07126061905518083,0.07641024872752933
Debate-2Agent,low,2500,0.27981011916154275,0.10930652523789416,0.07070078279894174,0.17557612294424368
Debate-2Agent,medium,2500,0.43887863234966806,0.11989523421854392,0.11300595567573143,0.12635486082813258
Monolithic,high,2500,0.3582194420168013,0.0,0.0,0.0
Monolithic,low,2500,0.17050359392364858,0.0,0.0,0.0
Monolithic,medium,2500,0.3189833981311241,0.0,0.0,0.0
Reflexion,high,2500,0.4188717442140321,0.060652302197230785,0.058557514781286686,0.06322245881571778
Reflexion,low,2500,0.2443329623908311,0.07382936846718252,0.06757459700369936,0.08082847775612428
Reflexion,medium,2500,0.42287929718802864,0.10389589905690455,0.0979592743071503,0.10989415966956224
Sequential,high,2500,0.39364383215475834,0.035424390137957174,0.03376772914549177,0.03738257225408254
Sequential,low,2500,0.20854574895066083,0.03804215502701225,0.028564205519896954,0.04832670630626883
Sequential,medium,2500,0.37570115101673374,0.05671775288560962,0.05319320267138846,0.0606856965556695
ToT-SelfConsistency,high,2500,0.4673980135118153,0.10917857149501402,0.10648989246186318,0.1124590693100654
ToT-SelfConsistency,low,2500,0.36258617866182696,0.1920825847381784,0.10081248356504949,0.3630034839465044
ToT-SelfConsistency,medium,2500,0.48858649659136527,0.16960309846024116,0.16196463077883191,0.177267745584172
